Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Theme
Twitter,https://twitter.com/CoPeSoR/statuses/1501032265492672514,CoPeSoR,3/7/2022 10:09 pm,"JTenMexico @ELEMENTADDHH @Racismo_MX @YaajMexico @melissaayala92 @NuriaPalou10 @Luliwainer @Chelawuera @luigicantu @kalycho @OphCourse Hola, una compañera sorda está convovando a la comunidad para unirnos a su contingente.",Mention,Text Only,3144,9,"Colonia del Valle, Mexico City, Mexico",
Instagram,https://www.instagram.com/p/Ca06GKftcfX/,,3/7/2022 9:49 pm,"Para muchos decir “feliz día la mujer” es simplemente un evento social; pienso que es una oportunidad para denunciar que aún en medio de la modernidad y de los avances científicos, nos falta mucho por crecer; #feminicidios #misoginia #racismo #discriminación #abusosexual y muchas otras más; es de no creer la impunidad y desigualdad que se vi hoy, el machismo y la falta de empoderamiento en muchos lugares del mundo. Para mi la Santísima Virgen es la primera mujer en denunciar y proponer un cambio de pensamiento; una mujer de carácter que no tuvo miedo en cuestionar a Dios, no tuvo miedo en enfrentar la ley judía al decir que si y poner en riesgo su vida, no tuvo miedo en seguir con su esposo los riegos de la persecución; para hacerla breve, fiel hasta el final y recibir sin vida el cuerpo de su hijo, y después como líder animar y presidir la reunión de los apóstoles encerrados por miedo. De Ella, de la Santísima Virgen María pienso han aprendido las grandes mujeres que en la historia de la Iglesia son modelo de valentía, fuerza, amor y transformación. Pido perdón si ofendo a alguien, pero mientras existan victimas de violencia contra la mujer, no me siento bien diciendo “feliz día de la mujer”, prefiero decir, nos falta mucho por hacer. Gracias a cada una de ustedes, a las científicas, lidedesas sociales, políticas, empresarias, amadas de casa, a las madres solteras, abuelas, académicas, amigas y a TODAS, DIOS LAS BENDIGA. #8marzo #diadelamujer #mujer",Message,Photo,0,149,,Género
Twitter,https://twitter.com/Nelyzabeth/statuses/1501025656385282054,Nelyzabeth,3/7/2022 9:42 pm,"Día Internacional de la Mujer, por mejores condiciones de vida para todas las mujeres sin violencia ni discriminación.  ❤️ #ConDolorEnElCielo 🔥#FeministasTomanElCieloDeMéxico ⚡️ #08DeMarzo2022 💪 #DerechosHumanos https://t.co/rah5EnBKi0",Message,Video,391,5,"Guadalajara, Jalisco, Mexico",Género
Twitter,https://twitter.com/Fuegoflama1/statuses/1501021626514784257,Fuegoflama1,3/7/2022 9:26 pm,"crojascaro1823 @OscarCastro4169 @miguelhuerta32 Nadie dice lo contrario, pero reconocimientos culturales es lo mínimo que se puede dar a los pueblos originarios. Además de compensar los años de discriminación",Mention,Text Only,183,0,"North Decatur, Georgia, United States",
Twitter,https://twitter.com/A_G_Cabrera/statuses/1501021213212168193,A_G_Cabrera,3/7/2022 9:25 pm,"El movimiento social q más avances ha logrado en los últimos 5 años, en materia de DDHH, reformas constitucionales, creación de protocolos, acceso a la justicia y debate en torno a estructuras de vulnerabilidad, discriminación y exclusión. Es el movimiento feminista, punto. 
💜💚",Message,Text Only,809,7,"Cuauhtemoc, Mexico City, Mexico",Género
Twitter,https://twitter.com/ElPlenoNoticias/statuses/1501017009085165572,ElPlenoNoticias,3/7/2022 9:08 pm,"Durante su participación, la diputada @msilvaruiz reconoció que la vida privada es un factor de discriminación en la vida laboral, por lo cual es urgente eliminar todo tipo de violencia contra las mujeres para garantizar equidad. https://t.co/ZWTmydukLM",Mention,Video,55,0,"Casa Blanca, Puebla, Mexico",Género
Twitter,https://twitter.com/isa2652/statuses/1501012183320346626,isa2652,3/7/2022 8:49 pm,"De nuevo
Otra tragedia
Migrantes abandonados en Coahuila
Una mujer embarazada y su bebé muertos",Message,Text Only,2342,1,"Tecamac de Felipe Villanueva, México, Mexico","Género, Migración"
Twitter,https://twitter.com/gomvar63/statuses/1501010396584497155,gomvar63,3/7/2022 8:42 pm,SoyIsraman @XochitlGalvez Cuánto clasismo en esa foto.... Y la peor de un indígena que reniega de sus raíces PANIAGUADOS FRACASADOS.,Mention,Text Only,598,1,"Lomas del Sur, Jalisco, Mexico",
Twitter,https://twitter.com/yucatanahora/statuses/1501008242960482310,yucatanahora,3/7/2022 8:33 pm,"Con el objetivo de prevenir, atender, sancionar y erradicar la violencia laboral contra las mujeres, Canainma y Semujeres, firmaron una carta de intención que prevé la implementación de espacios libres de violencia y discriminación.
👇🏼

https://t.co/fk3wKFYl53 https://t.co/fora3UapCt",Message,Photo,44922,3,"Merida, Yucatán, Mexico",Género
Twitter,https://twitter.com/EuniceArias/statuses/1501006839869317120,EuniceArias,3/7/2022 8:28 pm,"Algunas materias del diplomado que voy a empezar: 
Igualdad constitucional y desigualdades estructurales 
Políticas públicas en favor de la igualdad
Igualdad y no discriminación para adultos mayores 
Migrantes y refugiados 
Salud y seguridad social 

 ✔️👌🏼💜🥲",Message,Text Only,12250,9,"Cuauhtemoc, Mexico City, Mexico",Migración
Twitter,https://twitter.com/Jose_M_Baez/statuses/1501006480778145792,Jose_M_Baez,3/7/2022 8:26 pm,claudiatalmonte @LlamenmePam Las personas mas racistas son las que mas se las pasan quejando de Racismo. Psychology inverse. Ay que dejar la mediocridad y superarse.,Mention,Text Only,309,1,"Woodbury, Tennessee, United States",
Twitter,https://twitter.com/Mar80123451/statuses/1500996567767126018,Mar80123451,3/7/2022 7:47 pm,"LA  BURLA ES EL MEDIO QUE UTILIZA AML0, POR ESTAR ACOMPLEJADO Y SE QUIERE SENTIR DIOS. https://t.co/GCOBPtipu3",Message,Photo,4941,2,"Colonia del Valle, Mexico City, Mexico",
Twitter,https://twitter.com/VilchisJuan1/statuses/1500995159265271810,VilchisJuan1,3/7/2022 7:41 pm,"adelarosa Y que propones?? @adelarosa 
O crees que sentado en tu sala con hamburguesa, papas y refresco puedes dar cátedra de lo que se tiene que hacer?? 
Cerdosperiodistas frustrados y acomplejados resulta que ya no son informadores. Ya se creen socios de la @FMF",Mention,Text Only,41,0,"Santa Rosa Jauregui, Querétaro, Mexico",
Twitter,https://twitter.com/guseguemo/statuses/1500993954229149696,guseguemo,3/7/2022 7:37 pm,"""Pachakutik ""
Allí está el detalle Pachakutik  cada día se identifica más y más con el plan privatizador de lasso 
Los 500 años de Resistencia y lucha de los pueblos Indigenas los botaron al basurero de la historia 
¿ gratis ? Mmmmmmmm https://t.co/8Nll5DEUX2",Message,Photo,509,53,"Eden, Texas, United States",
Twitter,https://twitter.com/pablinho24/statuses/1500991358751760387,pablinho24,3/7/2022 7:26 pm,luckych4rn Siguen  resentidos,Mention,Text Only,795,2,"Monterrey, Nuevo León, Mexico",Backlash
Twitter,https://twitter.com/Seleneypunto/statuses/1500991336341778437,Seleneypunto,3/7/2022 7:26 pm,"EkiduGilgamesh Hasta la Wikipedia lo sabe
""Concretamente, hace referencia a la propaganda de ideas basadas en la superioridad de un grupo de personas por su raza, color u origen étnico, JUSTIFICANDO A LA VEZ RL ODIO O LA DISCRIMINACIÓN"".",Mention,Text Only,149,2,"Las Pintas de Arriba, Jalisco, Mexico",
Twitter,https://twitter.com/CruzYude/statuses/1500985483425460230,CruzYude,3/7/2022 7:03 pm,"Siempre ha estado en lo cierto!! Lo tildaron de egoista, racista, dictador.. porque un grupito de Izquierdosos mentirosos no les gustan que le digan la verdad en su cara y mira ahora donde estamos a punto de WWIII, inflacion, inseguridad, drogas.. #TrumpToSaveAmerica y el Mundo https://t.co/HSt8masg5p | QT: Así llegó todo: Unos prepotentes alemanes en la ONU se ríen de la advertencia de Trump de que la dependencia energética hace extorsionables a los países ante potencias expansionistas. Y que Alemania sería totalmente dependiente de Rusia si no cambiaba. Así fue.
Trump was right. https://t.co/3DiarlREd9",Message,Link,503,0,"North Miami Beach, Florida, United States",
Twitter,https://twitter.com/NattyGallegos/statuses/1500984050026266624,NattyGallegos,3/7/2022 6:57 pm,Pura chulada de maíz prieto 🤭❤️ https://t.co/FFqOTqUG7G,Message,Photo,13,2,"Juchitan de Zaragoza, Oaxaca, Mexico",
Twitter,https://twitter.com/DiegoPinon_/statuses/1500979089158676481,DiegoPinon_,3/7/2022 6:37 pm,"Recuerdos🍂

Toma de protesta del Subsecretario Nacional de Asuntos Migrantes:
Salomón Carmona.

De nuestro movimiento Binacional @MxRepublicanoN #MéxicoRepublicano 🇲🇽🇺🇸 https://t.co/m39wF5dtd7",Message,Video,4973,10,"Miguel Hidalgo, Mexico City, Mexico",Migración
Twitter,https://twitter.com/FelipeNY2022/statuses/1500974366842105858,FelipeNY2022,3/7/2022 6:19 pm,El que vote por pacto histórico debe asumir la responsabilidad de sus actos si el sociopata llega a la presidencia o los resentidos a tener la mayoría en el congreso nada de “me engañaron” o es mejor cambiar de ladrones” o “vamos a comer mierda todos”  ! Ojo pues ! https://t.co/KH1404tNyA,Message,Video,49,1,"Inwood, New York, United States",Backlash
Twitter,https://twitter.com/GUEVARAREINITA/statuses/1500974056866299907,GUEVARAREINITA,3/7/2022 6:17 pm,"asibrianv @InformalDiario El proclamado asilo no es tal cosa, son familias o personas ucranianas establecidas en Guatemala y que tienen familiares en ese país, quienes solicitaron a migración que a esos seres queridos les brinden la cualidad de asilados por razones humanitarias. (Sigo en el siguiente tw).",Mention,Text Only,112,1,Guatemala,
Twitter,https://twitter.com/AuraMedinaW/statuses/1500972086252113921,AuraMedinaW,3/7/2022 6:10 pm,marianapordios Lo.siento muchisimo! Mucho.. Ni tu Güerita ni ningun animal merece estos actos de horror cometidos por lo mas bajo de la raza humana. Lloro junto contigo 💛,Mention,Text Only,73895,5,"Santa Rosa Jauregui, Querétaro, Mexico",
Twitter,https://twitter.com/cmtzo/statuses/1500970316775841792,cmtzo,3/7/2022 6:03 pm,"Cosas de prietos https://t.co/D43fwzwktD | QT: ¿Qué pedo con sus amigos, @poderprieto_mx @tenochhuerta? https://t.co/A9H2u5mDSc",Message,Link,804,0,"Las Delicias, Baja California, Mexico",
Twitter,https://twitter.com/ddematteis/statuses/1500961527137984515,ddematteis,3/7/2022 5:28 pm,"Saliendo de acompañar a @GraceGomez quien fue invitada a una ponencia en la universidad de @Harvard y habló sobre sus retos como profesional siendo inmigrante y sus logros, inspirando a todos los estudiantes a que ‘Si se puede’ y que podemos lograr lo inimaginable! https://t.co/LblZKTop2A",Message,Photo,31341,26,"Cambridge, Massachusetts, United States",Migración
Instagram,https://www.instagram.com/p/Ca0b8CLgRbE/,,3/7/2022 5:26 pm,"⚠️ Instagram eliminó el posteo en el que visibilizaba casos y situaciones de desigualdad, discriminación y violencia contra la mujer invirtiendo las víctimas (colocando a los hombres como las víctimas en estos casos y a las mujeres como agresoras) con el fin de sensibilizar sobre esta problemática. 

Instagram considera que mi post infringe las normas comunitarias por lenguaje o símbolos que incitan al odio.

Instagram en la víspera del día internacional de la mujer me elimina un posteo porque hiere el ego de los machistas y misóginos que consideran una agresión colocarlos hipotéticamente como víctimas de casos REALES en los que las mujeres han sido víctimadas por hombres.

Pero instagram no elimina los miles de post sexistas, misóginos y racistas con los que no topamos todos los días, instagram no considera que infringen las normas los comentarios y mensajes violentos, insultantes, agresivos, amenazantes y de caracter sexista y racista que yo y muchas otras mujeres y personas racializadas recibimos en las redes sociales. 

Una vez más nos dejan claro de quien es el espacio público aunque este sea digital, en el cual solo nos permiten participar cuando y como ellos lo deciden. 

Si no me ven mas por acá ya saben que IG me cerró la cuenta porque no le gusta que las mujeres negras latinoamericanas feministas y antirracistas visibilicen y denuncien las discriminaciones y violencias que vivimos y de las que ellos son cómplices. 

#RedesSociales #Instagram #Sexismo #Misoginia #Racismo #Discriminación #Censura #DíaDeLaMujer #8M",Message,Photo,0,1628,,Género
Twitter,https://twitter.com/GerA20076499/statuses/1500959697247027203,GerA20076499,3/7/2022 5:20 pm,"Se le llena la boca a periodistas como @Faitelson_ESPN cada vez que pueden  criminalizar al pobre y promover un discurso moralino sobre los buenos y los malos... Estoy al borde el vomito ante tanto clasismo, racismo e hipocresía en torno al problema de #QueretaroAtlas",Message,Text Only,29,1,"Merida, Yucatán, Mexico",
Twitter,https://twitter.com/mito2645/statuses/1500955875225313285,mito2645,3/7/2022 5:05 pm,"p_evangel @HazimNoelia Y tú vas a encontrar un prieto en Ucrania, ni como esclavo!",Mention,Text Only,176,1,"Riverview, Florida, United States",
Twitter,https://twitter.com/jralvins/statuses/1500949270077362182,jralvins,3/7/2022 4:39 pm,"Esto es nivel las fotos de AOC en los centros de retención de inmigrantes en la frontera gringa. Tan viejo y tan ridículo. https://t.co/yeuXetSgim | QT: Las fotos de Macron que muestran a las claras la dureza de las negociaciones sobre Ucrania
 https://t.co/kXFBIlgqVP https://t.co/JsVo34dP1c",Message,Link,992,1,"Miguel Hidalgo, Mexico City, Mexico",Migración
Twitter,https://twitter.com/JotaAndres100/statuses/1500940574504878082,JotaAndres100,3/7/2022 4:04 pm,"OIZuluaga @CeDemocratico En LA votamos @PactoCol #PactoHistorico NO MAS NARCOS, NO MAS GUERRA, NO MAS FASCISMO, NO MAS RACISMO, NO MAS URIBISMO NI NADA QUE VENGA DE USTEDES!!!!",Mention,Text Only,1,0,"Los Angeles, California, United States",
Twitter,https://twitter.com/dremarquezr/statuses/1500936305030610953,dremarquezr,3/7/2022 3:47 pm,"LaylaBBcita Después de este comentario, nadie puede negar que México está plagado de clasistas.",Mention,Text Only,2602,2,"Guadalajara, Jalisco, Mexico",
Twitter,https://twitter.com/dremarquezr/statuses/1500935832655515652,dremarquezr,3/7/2022 3:46 pm,"SoyLadyCorrales Después de este comentario, nadie puede negar que México está lleno de clasistas.",Mention,Text Only,2602,4,"Guadalajara, Jalisco, Mexico",
Twitter,https://twitter.com/Davidelvaca/statuses/1500934421251334151,Davidelvaca,3/7/2022 3:40 pm,LaylaBBcita Qué burda tu afirmación... y clasista además.,Mention,Text Only,629,0,"Cuauhtemoc, Mexico City, Mexico",
Twitter,https://twitter.com/LaSalle_MX/statuses/1500931265494716421,LaSalle_MX,3/7/2022 3:27 pm,"Conoce los módulos itinerantes ubicados en el campus. Los módulos son uno de los espacios en donde puedes denunciar sobre discriminación, acoso o violencia en razón de género. #comunidadsegura https://t.co/hM20uQjVDC",Message,Photo,41636,12,"Miguel Hidalgo, Mexico City, Mexico",
Twitter,https://twitter.com/juanmanuelblank/statuses/1500930998640521227,juanmanuelblank,3/7/2022 3:26 pm,"El INM, separa a familias migrantes en Tapachula, envía a una menor hacer trámites a Ciudad Hidalgo y a sus padres los deja en fechas separadas para tramitar citas https://t.co/U69EGalH6W",Message,Photo,1065,0,"Tapachula, Chiapas, Mexico",Migración
Twitter,https://twitter.com/VilchisJuan1/statuses/1500928914142777350,VilchisJuan1,3/7/2022 3:18 pm,Emmanuel_Mo triste será que los dueños que invierten su dinero y patrimonio de sus familias dando empleos y la @LigaBBVAMX  @FMF  se tengan que bajar los calzones y hacerles caso a cerdosperiodistas frustrados y acomplejados que quieren resolver todo.  Que son socios??,Mention,Text Only,41,0,"Santa Rosa Jauregui, Querétaro, Mexico",
Twitter,https://twitter.com/Rocio_T_31/statuses/1500928742977331206,Rocio_T_31,3/7/2022 3:17 pm,SoyCharlieT @Rayados Lo de rayados era discriminación! Por favor.,Mention,Text Only,248,1,"Apodaca, Nuevo León, Mexico",
Twitter,https://twitter.com/anavercam/statuses/1500926348335976457,anavercam,3/7/2022 3:08 pm,LaylaBBcita ALERTA WHITEXICAN CLASISTA,Mention,Text Only,289,0,"Cuernavaca, Morelos, Mexico",
Twitter,https://twitter.com/Bilirubino/statuses/1500924294225817602,Bilirubino,3/7/2022 3:00 pm,"mundo_rosario @AnitaSicilia Gran cosa Argentina🥱, me estás diciendo que es un halago en unos de los paises mas racistas del mundo? Que sorpresa!",Mention,Text Only,1207,0,"Westminster, Colorado, United States",
Twitter,https://twitter.com/CarlyyMi/statuses/1500924062360608770,CarlyyMi,3/7/2022 2:59 pm,"Gigi_SorrentoX Que lindo tu amante, yo tengo 15 amantes en color negro, cafés, blancos y otros colores, no soy racista, disfruto mucho estar con ellos, ya que los reales, me han fallado y dejado plantada así como a ti.",Mention,Text Only,1599,2,"Tesistan, Jalisco, Mexico",
Twitter,https://twitter.com/alfredoenlanube/statuses/1500916304735182852,alfredoenlanube,3/7/2022 2:28 pm,_catalinacm Estamos cagados como raza humana 🤦‍♂️,Mention,Text Only,53,1,"Salt Lake, Utah, United States",
Twitter,https://twitter.com/GerA20076499/statuses/1500914279729537027,GerA20076499,3/7/2022 2:20 pm,"Faitelson_ESPN Como se mezclan también más arriba, entre los dueños y los jugadores y los comentaristas... Criminales también se viste como tú, clasista",Mention,Text Only,29,0,"Merida, Yucatán, Mexico",
Twitter,https://twitter.com/RamsesDerecho/statuses/1500913902066225152,RamsesDerecho,3/7/2022 2:18 pm,"AccionNacional @PPMnacional @MarkoCortes @AleGutierrez_mx @kenialopezr @XochitlGalvez @lauuuesquivel @AnaJVillagran @DeborahLoMa @marianagc @patybaezg Los del narcopan, los panazis, los #vox conservadores, los misóginos, clasistas, intolerantes ""provida"" los dueños de la verdad.
No mamar, la ultraderecha es por definición lo peor para el feminismo. Ya no se hagan pendejos.",Mention,Text Only,1403,14,"Tizayuca, Hidalgo, Mexico",Género
Twitter,https://twitter.com/RamsesDerecho/statuses/1500913746457374728,RamsesDerecho,3/7/2022 2:18 pm,"Los del narcopan, los panazis, los #vox conservadores, los misóginos, clasistas, intolerantes ""provida"" los dueños de la verdad.
No mamar, la ultraderecha es por definición lo peor para el feminismo. Ya no se hagan pendejos. https://t.co/Y9ZwGMLm50 | QT: El gobierno morenista no solo descuidó a las mujeres, las maltrató, se olvidó de ellas y les quita a diario programas y presupuesto.

En @AccionNacional nos solidarizamos con su lucha e impulsamos acciones que ayuden a erradicar el acoso y la violencia contra ellas. https://t.co/xMCH3FYeQS",Message,Link,1403,0,"Tizayuca, Hidalgo, Mexico",Género
Twitter,https://twitter.com/BiinizaMatias/statuses/1500913560335130637,BiinizaMatias,3/7/2022 2:17 pm,"ulmo La vdd, o sabía lo que hacía y quiso volverse viral. En estos tuiteros tiempos ya no se sabe... O de plano si es bastante clasista y en serio ni se fijo lo que dijo 🤪",Mention,Text Only,387,2,"Santa Cruz Xoxocotlan, Oaxaca, Mexico",
Twitter,https://twitter.com/CrubenJose/statuses/1500911297831092226,CrubenJose,3/7/2022 2:08 pm,Fake News: Todo apunta la migración sede del equipo @Club_Queretaro al puerto jarocho para evitar desafiliación hasta aquí mi reporte @miguirocha 😂 #SueñosGuajiros https://t.co/aMXQdSgAvC,Message,Photo,173,0,"Veracruz, Veracruz, Mexico",
Twitter,https://twitter.com/NicaTweetero/statuses/1500909705262161920,NicaTweetero,3/7/2022 2:02 pm,"Mientras a unos le abren las puertas para la migración a otros se las cierran https://t.co/zg6HzgwOPq | QT: También huyen de la guerra, de la pobreza... y esto se encuentran al llegar a España.

#BastaDeHipocresía https://t.co/63H44GQKfU",Message,Link,586,1,Nicaragua,
Twitter,https://twitter.com/samdelalva/statuses/1500906538164109312,samdelalva,3/7/2022 1:49 pm,"""No digas provechito"" jajaja. Neta que me encantó ésta película, una gran muestra de clasismo interno que muchos tenemos aún hoy. La señora Ilse, genial. Tantas que he visto caer. https://t.co/m2ZPRbYZ53 | QT: Esta noche toca función de cine de arte. https://t.co/8TGfYJlvn7",Message,Link,492,9,Mexico,
Twitter,https://twitter.com/pedroarebro/statuses/1500904286133358605,pedroarebro,3/7/2022 1:40 pm,"""El problema social del indio"" en acción. Mejorando la raza. https://t.co/dMKSDY5dJO | QT: Expulsamos guatemaltecos, importamos ucranianos. 🥺",Message,Link,209,1,Guatemala,Origen cultural
Twitter,https://twitter.com/lg6258/statuses/1500904210384277509,lg6258,3/7/2022 1:40 pm,"Hace falta que la Secretaria de Gobernación retome su reglamentos. 
La libertad de expresión es un derecho, pero termina dónde empieza el de los demás, y en este caso se provoca a la violencia, manipulación, discriminación e intolerancia. Por lo tanto se convierten en cómplices",Message,Text Only,503,0,"Monterrey, Nuevo León, Mexico",
Twitter,https://twitter.com/BrendaGaliciaQ1/statuses/1500902907797028872,BrendaGaliciaQ1,3/7/2022 1:35 pm,"diallissonv Hola @diallissonv creo q todo parte de la discriminación por 1prejuicio negativo o estigma hacia el otro, y por ello, el efecto, que en este caso es intencional, es dañar los derechos fundamentales de ese otro. Jamás una ideología debe pasar sobre los derechos humanos de nadie.",Mention,Text Only,334,3,"Colonia del Valle, Mexico City, Mexico",
Twitter,https://twitter.com/Quersha_/statuses/1500902655950000134,Quersha_,3/7/2022 1:34 pm,LaylaBBcita Y eso que tiene que ver con un acto de pelea en un estadio? Ya te andas mal tripeando bien feo. Vieja clasista y babosa,Mention,Text Only,1036,244,"Monterrey, Nuevo León, Mexico",Género
Twitter,https://twitter.com/EbMannie/statuses/1500900822133223432,EbMannie,3/7/2022 1:26 pm,dinamico_tx Te mmste...tomando este evento para expresar tu racismo de mierda,Mention,Text Only,77,0,"Texas, United States",
Twitter,https://twitter.com/hruizm71/statuses/1500897272229466115,hruizm71,3/7/2022 1:12 pm,"LaylaBBcita Es un comentario bastante desafortunado, clasista y lleno de estigma lamentable. Déjame entender porque relacionas la violencia con la albañilería. Si alguien es digno de respeto y precisamente de falta de reconocimiento, es éste sector laboral.",Mention,Text Only,392,533,"Tesistan, Jalisco, Mexico",
Twitter,https://twitter.com/CrBustamante_/statuses/1500897191665229826,CrBustamante_,3/7/2022 1:12 pm,"En estos tiempos si no te gusta el reggaeton te juzgan de amargado o de clasista pero nunca he oído a alguien que hable de lo aburrido que es oírlo en todos lados y contextos, en reuniones familiares, trabajos, en la calle, los medios, está en todos lados, YA BASTA, JODER.",Message,Text Only,412,1,"Tapachula, Chiapas, Mexico",
Twitter,https://twitter.com/axel_zarza/statuses/1500896668560105472,axel_zarza,3/7/2022 1:10 pm,"2 cartones de modelo
1 botella de tekila
Media gelatina de jerez
1 jarra de bacardios 
Y 2 latones de indio 

Y mírame... bien fresco en la foto. 
Y el otro pendejo mejor se pone lentes pa cerrar los ojos hahahahah https://t.co/AOtScsBBFG",Message,Photo,153,0,"San Salvador Tizatlalli, México, Mexico",Origen cultural
Twitter,https://twitter.com/VegareaE/statuses/1500895126566182916,VegareaE,3/7/2022 1:04 pm,"Hermoso ver aun estos paisajes que nos dan la migración de aves https://t.co/M5tOPCEaoU | QT: En la naturaleza nada es superficial.

Sisal, Yucatán. https://t.co/IRExe3u0Sh",Message,Link,67,0,"Sanctorum, Puebla, Mexico",
Twitter,https://twitter.com/JulioMoon7/statuses/1500894807153127433,JulioMoon7,3/7/2022 1:03 pm,"Quieren quedar bien y nada más sacan a relucir lo clasistas que son. https://t.co/qT4y1hBobV | QT: Después de lo de ayer en Qro, nadie pero NADIE me puede volver a decir q el fútbol no es de albañiles #SorryNotSorry",Message,Link,120,1,"Cuauhtemoc, Mexico City, Mexico",
Twitter,https://twitter.com/MarcosAntil/statuses/1500891692274180099,MarcosAntil,3/7/2022 12:50 pm,"Haber visitado la Tierra de Campeones—del legendario Doroteo Guamuch Flores, Jorge Surqué y muchos mas, fue un gran honor. Ver esos legados seguir floreciendo en su gente de hoy, campeonas como doña Olguita—con su legendario chocolate es inspirador. #migrante #mixco #guatemala https://t.co/G4eMPAQHaU",Message,Photo,9749,61,Guatemala,Migración
Twitter,https://twitter.com/ggpascacio/statuses/1500891303273324545,ggpascacio,3/7/2022 12:49 pm,"LaylaBBcita @MCTaquitos Porque tú clasismo y racismo dice que los albañiles son así, órale chido con tus prejuicios y con tu pendejismo",Mention,Text Only,30,0,Mexico,
Twitter,https://twitter.com/DJDNL7/statuses/1500886588095672321,DJDNL7,3/7/2022 12:30 pm,"bartok_mlm @marianaliru Pero cada quién va por su futuro, si eres flojo (yo soy algo flojo) pues tu clase social no va a ser la adecuada, si le chingas pues va a ser la correcta. Oye dime que feminismo triunfo en los derechos el de izquierda o el de derecha?",Mention,Text Only,201,1,"Iztapalapa, Mexico City, Mexico",
Twitter,https://twitter.com/gutiemartin/statuses/1500886451671601155,gutiemartin,3/7/2022 12:29 pm,Me queda claro que es un resentido social 🤭 https://t.co/exX7SgrKQ0 | QT: ¿Quién es? Jajaja https://t.co/wZH5Rl4xBU,Message,Link,1488,2,"Hayward, California, United States",Backlash
Twitter,https://twitter.com/AlexndraMorale1/statuses/1500885538735374344,AlexndraMorale1,3/7/2022 12:26 pm,HjordisCenturi1 Fue en otro msje y fue la raíz del problema eso lo encuentra en el iepct en paridad de género y no discriminación .,Mention,Text Only,276,1,"Villahermosa, Tabasco, Mexico",
Twitter,https://twitter.com/giorluis/statuses/1500884449658949632,giorluis,3/7/2022 12:21 pm,"MarinadelPilar @Claudiashein Y el trafico en tijuana?
Y los baches de tijuana?
Y la inseguridad en tijuana?
 Y los semáforos inservibles?
Y los migrantes a su suerte?
Ay señora póngase a trabajar...y deje de tirar rostro.",Mention,Text Only,65,0,"Las Delicias, Baja California, Mexico",Migración
Twitter,https://twitter.com/SigloCoahuila/statuses/1500883984787689478,SigloCoahuila,3/7/2022 12:20 pm,"Investiga la @FGECoahuila cómo #homicidio muerte de #migrante embarazada mientras @FGRMexico los delitos federales,… https://t.co/1SKxLy7M8T",Message,Link,6752,0,"Torreon, Coahuila, Mexico",Migración
Twitter,https://twitter.com/GerA20076499/statuses/1500883095339376640,GerA20076499,3/7/2022 12:16 pm,Faitelson_ESPN Qué cómodo hablar desde Miami... Clasista,Mention,Text Only,29,0,"Merida, Yucatán, Mexico",
Twitter,https://twitter.com/GerA20076499/statuses/1500882745169518596,GerA20076499,3/7/2022 12:15 pm,Faitelson_ESPN Racista,Mention,Text Only,29,0,"Merida, Yucatán, Mexico",
Twitter,https://twitter.com/DJDNL7/statuses/1500880494094921728,DJDNL7,3/7/2022 12:06 pm,"bartok_mlm @marianaliru Y dices que la ideología del feminismo es correcta. De que feminismo hablas? El disidente? (Te lo compro) el radical, el incluyente? Del que ursurpo al feminismo o el que logro los derechos (clasista, de derecha y pro-vidas).",Mention,Text Only,201,1,"Iztapalapa, Mexico City, Mexico",
Twitter,https://twitter.com/CRA1674/statuses/1500876787122855937,CRA1674,3/7/2022 11:51 am,"ClaudiaLizaldi Si tú eres una déspota, clasista, gracias a ti perdí mi trabajo, doble cara, 🤮 de persona",Mention,Text Only,9,0,"Magdalena Contreras, Mexico City, Mexico",
Twitter,https://twitter.com/rubmaza/statuses/1500876669678149635,rubmaza,3/7/2022 11:50 am,"Incluso a las personas morenas o radicalizarás se les dificulta acceder a puestos directivos, de toma de decisión, etc. 

Excelente iniciativa de @Racismo_MX, chequen la info👇🏾.🤘🏾 https://t.co/lLkLkMSEst | QT: ☝🏾 Tener un tono de piel oscuro no debe significar acceso a empleos de baja calificación y/o baja remuneración. #AccionesAfirmativas #BolsaDeTalentoRacializado

🔗 Regístrate aquí: 👉🏽 👉🏾 https://t.co/EqpQevk6t4 https://t.co/mGHsFcgVup",Message,Link,13795,6,"Jardines de la Silla (Jardines), Nuevo León, Mexico",
Facebook,http://www.facebook.com/633767657076047/posts/1384462902006515,Racismo_MX,3/7/2022 11:44 am,"☝🏾 Tener un tono de piel oscuro no debe significar acceso a empleos de baja calificación y/o baja remuneración. ⚠️

Con la #BolsaDeTalentoRacializado buscamos generar una vinculación laboral positiva entre  personas racializadas y empresas pioneras en inclusión y diversidad. 🤎

🔗 Regístrate aquí: 👇🏾👇🏾https://forms.gle/u8zt1BiGcG4ohXkj7 | ☝🏾 Tener un tono de piel oscuro no debe significar acceso a empleos de baja calificación y/o baja remuneración. ⚠️

Con la #BolsaDeTalentoRacializado buscamos generar una vinculación laboral positiva entre  personas racializadas y empresas pioneras en inclusión y diversidad. 🤎

🔗 Regístrate aquí: 👇🏾👇🏾https://forms.gle/u8zt1BiGcG4ohXkj7",Message,Photo,0,24,,
