Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/MalBicho_O/statuses/1520612224426864641,MalBicho_O,4/30/2022 11:53 pm,"Antes el insulto favorito aquí era «pocos followers».

Ahora es «resentido». Queésto, huy, pinche resentido; quelootro, puts, es un resentido.

Resentida su colÉPALE",Message,Text Only,2240,0,"Santa Rosa Jauregui, Querétaro, Mexico",Women,,0,0,0,0,Backlash
Twitter,https://twitter.com/JorgBlumen/statuses/1520607430064803840,JorgBlumen,4/30/2022 11:33 pm,"SenoraCatolica Deje usted eso, lo prietos y de tez humilde, Asco!",Mention,Text Only,2647,0,"Miguel Aleman (La Doce), Sonora, Mexico",,,0,0,0,0,Tono de piel
Twitter,https://twitter.com/juliotorreshdz/statuses/1520599367706714119,juliotorreshdz,4/30/2022 11:01 pm,Cómo extraño a mi ranchito todo naco❤️ | QT: https://t.co/DTpspeftVX,Message,Text Only,271,0,"Tlalpan, Mexico City, Mexico",Women,,0,0,0,0,Odio
Twitter,https://twitter.com/DDoming72009599/statuses/1520592071920291840,DDoming72009599,4/30/2022 10:32 pm,ChicShion Che gobernador racista,Mention,Text Only,136,0,Mexico,,,0,0,0,0,
Twitter,https://twitter.com/salinasar/statuses/1520588730423287810,salinasar,4/30/2022 10:19 pm,"OscarARosales1 @JuanIZavala Berrinchudo, resentido, miedoso, envidioso y pendejo..  aderezado con baja autoestima",Mention,Text Only,481,0,"Monterrey, Nuevo León, Mexico",Men,,0,0,0,0,Backlash
Twitter,https://twitter.com/Rubenvialc/statuses/1520583840091320321,Rubenvialc,4/30/2022 10:00 pm,"¿Cómo que clasista we?
Si una vez retiré dinero del oxxo",Message,Text Only,21,0,"Tlalnepantla, México, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/PoloVidal4/statuses/1520583468530475008,PoloVidal4,4/30/2022 9:58 pm,"jgnaredo @MovCiudadanoMX No tan mal como el pseudo presidentito alias el kk’s. El país cayéndose a pedazos y todo lo que al muy p3nd3j0 le preocupa es cuánto vale el depa de Loret en Miami. Envidioso. Ignorante, resentido, mitómano y ególatra.",Mention,Text Only,5,0,"Villahermosa, Tabasco, Mexico",,,0,0,0,0,Backlash
Twitter,https://twitter.com/rlongines73/statuses/1520578790325370880,rlongines73,4/30/2022 9:40 pm,"Es triste llegar a la terminal del norte ...
Recuerdo el último día que vine por ti prieto... https://t.co/cxYkx5GEDn",Message,Photo,45,0,"Colonia Lindavista, México, Mexico",Men,,0,0,0,0,
Instagram,https://www.instagram.com/p/Cc_zgU8sAJy/,,4/30/2022 9:26 pm,"Actualidad #librosenventa #libros de #casospoliciales
 pueblo #nacionwichi #femicidio idio #derechoalaidentidad vínculos paternales inexistentes  x #abusosexual pedófiloxs. lucha de la mujer invisibilizada y silenciada #racismo",Message,Photo,0,1,,,,1,0,0,0,Género
Twitter,https://twitter.com/ejmejiac/statuses/1520562549875478528,ejmejiac,4/30/2022 8:35 pm,"JuanIZavala El típico que se lo madreaban por feo y pendejo. Creció resentido, ni su mamá lo quería
 #ElCacasObrador",Mention,Text Only,278,0,"Xochimilco, Mexico City, Mexico",Men,,0,0,0,0,Backlash
Twitter,https://twitter.com/Andressuacia/statuses/1520559498280292352,Andressuacia,4/30/2022 8:23 pm,"IMPUNIDAD!!! | QT: Queda en libertad elemento de la Guardia Nacional que mató a  estudiantes de la @UdeGuanajuato.

Vía @David_Saucedo_ 

@diegosinhue @LorenaAlfaroG @LibiaGarciaML @davidmunozt31 @lcmanzano @Ortiz_Irapuato @leonfelipe_peni @irapuatogob @Neto_Prieto @MORENA_Gto @DiegoBarrosoMX https://t.co/fclEGJd27D",Message,Text Only,663,0,"Medina, Guanajuato, Mexico",,,0,0,0,0,Perfilamiento racial
Twitter,https://twitter.com/RodrigoOlgin/statuses/1520557942612897792,RodrigoOlgin,4/30/2022 8:17 pm,El Cinismo de este borracho acomplejado cuando tanto como el y como margarinflas deberían de estar presos por la desgracia en la guardería ABC | QT: El niño Borolas https://t.co/LU6TqIXB7S,Message,Text Only,34,0,"Tepeji de Ocampo, Hidalgo, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/BeatrizResndizT/statuses/1520546236088074244,BeatrizResndizT,4/30/2022 7:30 pm,"En dónde está el cerebro de los mexicanos que lejos de recuperar al país,  se adhieren mas a las ideas dictatoriales de la 4t. | QT: A seguir destruyendo, ahora a la educación ""neoliberal"" por ser meritocrática, tachándola de clasista, racista, colonialista, inhumana...

""El marxismo educativo de López Obrador"" es mi columna en @ElFinanciero_Mx. Gracias por leer y considerar compartir:

https://t.co/2HXvxTnCHI",Message,Text Only,23,0,"Santa Rosa Jauregui, Querétaro, Mexico",Women,,0,0,0,0,
