Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/ArturoRiba/statuses/1509724539718193157,ArturoRiba,3/31/2022 10:49 pm,marcouriel13 @berruetagf Deplorable actitud de un algo resentido. Y así exige respeto.,Mention,Text Only,156,1,"Tlalpan, Mexico City, Mexico",,,1,0,0,0,Backlash
Twitter,https://twitter.com/OrtollServando/statuses/1509694288598290435,OrtollServando,3/31/2022 8:49 pm,"Biologictime:

""México es racista y clasista.""",Mention,Text Only,6393,0,"Colima, Colima, Mexico",,,0,0,0,0,
Instagram,https://www.instagram.com/p/CbydKL9NQeL/,,3/31/2022 8:29 pm,"Hoy en el #diadelavisibilidadtrans 
Examinémonos y dejemos atrás tanto prejuicio y compartamiento racista heredado y normalizado. 
Seamos el cambio nostros para luego exigir uno.
#colombia🇨🇴 #Trans #Racist #FranciaMarquez #pactohistórico #Racismo #Cartoon #opinión #calicolombia🇨🇴 #PreguntaleABarbarias",Message,Photo,0,222,,,,216,0,6,0,Género
Twitter,https://twitter.com/BryanToriz1/statuses/1509682942733336576,BryanToriz1,3/31/2022 8:03 pm,"Guzzodz @MisDerechosLGBT @abrahamendieta @SalmaLuevano @MARIACLEMENTEMX @tweet_stamp Salgado Macedonio violaba, literal, violaba, con vídeos, testimonios, denuncias y ustedes lo querían hacer Gobernador.
No me vengan a hablar de moral y discriminación.",Mention,Text Only,1128,3,Mexico,Men,,0,0,3,0,
Twitter,https://twitter.com/alejandrogodi01/statuses/1509680775955951616,alejandrogodi01,3/31/2022 7:55 pm,"Los ataques por racismo en EEUU, no quedan solo en los asesinatos que de por sí ya son terribles.

Fragmento tomado de #Latinx, de @paoramos https://t.co/KC7i5s7yOY",Message,Photo,98,1,"Cuauhtemoc, Mexico City, Mexico",Men,,1,0,0,0,
Twitter,https://twitter.com/pacocandano/statuses/1509666338347831298,pacocandano,3/31/2022 6:57 pm,Es ser un naco mexicano promedio. https://t.co/AgXmlfWgx0 | QT: ¿Ser un pndejo cuenta como incapacidad?✍️🧐 https://t.co/J8faOgufEp,Message,Link,839,3,"Colonia del Valle, Mexico City, Mexico",,,2,0,1,0,Odio
Twitter,https://twitter.com/AlexndraMorale1/statuses/1509665916388315142,AlexndraMorale1,3/31/2022 6:56 pm,"Es muy importante hacernos visibles en Tabasco ya q falta mucho x hacer y x reducar en el estado.Yo me hago visible para luchar encontrá de los discursos de odio,discriminación y crímenes odio ya q no contamos con una fiscalía + incluyente donde nos permitan denunciar esto actos. https://t.co/VMfUkciyuU",Message,Photo,289,4,"Villahermosa, Tabasco, Mexico",Women,,4,0,0,0,
Twitter,https://twitter.com/RosalbaVCruz/statuses/1509665162135064581,RosalbaVCruz,3/31/2022 6:53 pm,"Las personas Trans, forman parte de la belleza y la pluralidad de cultura en el mundo, hoy en el día Internacional de la Visibilidad Trans🏳️‍⚧️, seamos parte de la sociedad incluyente, que se esfuerza por erradicar la discriminación y la violencia a la diversidad. https://t.co/bdnyHffa2h",Message,Photo,1806,3,"Venustiano Carranza, Mexico City, Mexico",Men,,2,0,1,0,Género
Instagram,https://www.instagram.com/p/CbyLPFOPZ5l/,,3/31/2022 5:53 pm,"La conversación nacional en el marco de las elecciones del 2022 ha puesto en la agenda pública el debate sobre la existencia del ""racismo"" en Colombia. No obstante, los comentarios y declaraciones emitidas en las últimas semanas por varias figuras de la esfera política y social del país evidencian que estos imaginarios racistas persisten y vulneran los derechos de la población afro.

#racismo #elecciones #afrocolombianos #conversaciones",Message,Video,0,157,,,,148,0,9,0,
Twitter,https://twitter.com/raulcruzperez/statuses/1509645422880509953,raulcruzperez,3/31/2022 5:34 pm,EmMaNuVe @CartonCalderon Cuatrero resentido,Mention,Text Only,31,2,"San Lorenzo Acopilco, Mexico City, Mexico",Men,,0,0,2,0,Backlash
