Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/Jess44099828/statuses/1530753507153825792,Jess44099828,5/28/2022 11:30 pm,g_quadri Aberrante es que tenga México diputados traidores de la patria como este personaje de Quadri rasista clasista y pendetonto,Mention,Text Only,1110,0,"Miguel Hidalgo, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/hecid/statuses/1530753322713497604,hecid,5/28/2022 11:30 pm,ArthurAMcN @pgabascal @marielfernn Gran diferencia. Sigue habiendo discriminación.,Mention,Text Only,2077,0,"Xochimilco, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/Yoshio_Lara/statuses/1530752230101594112,Yoshio_Lara,5/28/2022 11:25 pm,"La oposición, la cueva de la gente racista. | QT: @Yoshio_Lara @NabetseArellano @CitlaHM @abrahamendieta @CamMttz @VLorelei @ALEIDAALAVEZ @julietaetznab @Claudiashein @DiputadosMorena Que tu cara prehispánica no te acompleje. No puede uno preguntar que chingados es una Nabetse o un Yoshio?",Message,Text Only,2353,0,"Cuauhtemoc, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/Peralta1474/statuses/1530751764659589121,Peralta1474,5/28/2022 11:23 pm,Miruzha Yo otros 150...y con la promo de caguamon indio ...alcanza para seis  caguamones...jeje 😉,Mention,Text Only,445,0,"Teotihuacan de Arista, México, Mexico",0,0,0,0,Origen cultural
Twitter,https://twitter.com/AliasCane/statuses/1530749704484659202,AliasCane,5/28/2022 11:15 pm,"En el fondo, todos somos racistas, clasistas y especiecistas. https://t.co/R8dvjBTDsg",Message,Photo,12231,57,"Colonia del Valle, Mexico City, Mexico",49,0,4,4,
Twitter,https://twitter.com/Grupojuridicom1/statuses/1530745194563440641,Grupojuridicom1,5/28/2022 10:57 pm,"VigimoviCDMX Me pueden dar número folio de mi  queja de favor no puede tolerar este tipo discriminación me ocasionó daños a mi cliente, Donde me presento a continuar con la queja y ver qué sanción no a la discriminación y abuso además de mal https://t.co/zLdZzibZyx tengo donde voy.",Mention,Link,3,0,"Venustiano Carranza, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/OOretrap/statuses/1530743866130931712,OOretrap,5/28/2022 10:52 pm,"Quien es Abusivo,acomplejado,amargado,anacronico,antidemocratico,arrogante,autoritario,bipolar,buscapleitos,cerrado,orate,corrupto,demagogo,desaliñado,desaseado,destructor,detestable,enanomental,falaz,hipocrita,incitador,inculto,ladino, mediocre,mesianico,obtuso, populista, porro",Message,Text Only,955,28,"Tesistan, Jalisco, Mexico",13,0,6,9,Backlash
Twitter,https://twitter.com/Gato_Azul888/statuses/1530739557037219841,Gato_Azul888,5/28/2022 10:35 pm,ElFamosoJay @OGMrFrost @mrschelas Se dice quieto prieto,Mention,Text Only,533,0,"Ecatepec, México, Mexico",0,0,0,0,
Twitter,https://twitter.com/Adivitola/statuses/1530736832115269633,Adivitola,5/28/2022 10:24 pm,"¿Dónde le pongo su altar a Susana Alexander? Uf, qué pedazo de actriz. 
(Del espectáculo Madre sólo hay una. Mañana es el último día. Teatro Xola.) 🎭🎤 en Teatro Xola Julio Prieto https://t.co/cXrFPXCqj6",Message,Link,2763,0,"Benito Juarez, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/mxartesano/statuses/1530735904419205121,mxartesano,5/28/2022 10:20 pm,Que pinche sabe la cerveza indio,Message,Text Only,152,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,Origen cultural
Twitter,https://twitter.com/chilis064/statuses/1530725002106089472,chilis064,5/28/2022 9:37 pm,"GarnicaMau @FelipeCalderon Se hubiera llevado de perdiz el banquito de doña Chonita,para emparejar la altura,no que así se ve, más enano acomplejado de lo que está.",Mention,Text Only,1612,0,"Tecamac de Felipe Villanueva, México, Mexico",0,0,0,0,
Twitter,https://twitter.com/VicMan_53/statuses/1530717315590938626,VicMan_53,5/28/2022 9:07 pm,"Funesta @hdemauleon Mmmhhh.... ¿La Chilanga? No, creo que sonaría algo clasista.
🙄🙄🙄",Mention,Text Only,31,0,"Guadalajara, Jalisco, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/p/CeH2tsIOLDJ/,,5/28/2022 9:00 pm,"El ámbito que más se padeció es en el educativo con el 41%
#inadi #discriminación #argentina #racismo",Message,Photo,0,0,,0,0,0,0,
Instagram,https://www.instagram.com/p/CeH2trZhFTy/,,5/28/2022 9:00 pm,"El ámbito que más se padeció es en el educativo con el 41%
#inadi #discriminación #argentina #racismo",Message,Photo,0,0,,0,0,0,0,
Instagram,https://www.instagram.com/p/CeH2tiKPA2V/,,5/28/2022 9:00 pm,"El ámbito que más se padeció es en el educativo con el 41%
#inadi #discriminación #argentina #racismo",Message,Photo,0,0,,0,0,0,0,
