Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/rfrv0007/statuses/1526770721036328960,rfrv0007,5/17/2022 11:44 pm,DraAnaCeci Los médicos clasistas e inhumanos de 🇲🇽 #AquiEstamos... pero de licencia o tramitando amparos para no atender pacientes con COVID-19 desde el 2020. Pero no fueran gringos los médicos que vienen a 🇲🇽 porque los del ABC o del Hospital Ángeles no dirían ni Pío.,Mention,Text Only,197,0,"Cuauhtemoc, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/JEFECAS/statuses/1526770605101461505,JEFECAS,5/17/2022 11:44 pm,"DamianAIcazar deja lo naco, como eres bruto, zopenco",Mention,Text Only,1414,0,Mexico,0,0,0,0,Odio
Twitter,https://twitter.com/pamki/statuses/1526769580168863744,pamki,5/17/2022 11:40 pm,"soccernurdsmx Es un video MUUUY pendejo, pero el punto es que la morra del tuit dice que eso refuerza ideas racistas. O sea, que tampoocoo se mame. Ambas están igual de absurdas.",Mention,Text Only,11908,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,Género
Twitter,https://twitter.com/PeRySoL/statuses/1526768291254898690,PeRySoL,5/17/2022 11:35 pm,"EllaCantaloupeH @CazyPa Exacto, una actitud infantil con clasista y racismo 🙄",Mention,Text Only,2159,0,"Tesistan, Jalisco, Mexico",0,0,0,0,
Twitter,https://twitter.com/Frank_1995MS/statuses/1526765276683022337,Frank_1995MS,5/17/2022 11:23 pm,"Es como lxs vatxs que dicen;
""Yo respeto pero"" 
""Cada quien tiene sus lugares""
""Acepto que seas gay pero no me quieras besar"" 
""Quien es el hombre y quien la mujer"" | QT: Hace 32 años las orientaciones sexuales diversas dejaron de ser consideradas trastornos mentales, pero los discursos de odio preservan los prejuicios y alimentan la discriminación.

En lo que va de 2022 @Letraese ya reporta 21 homicidios LGBT+.

El odio mata.

#IDAHOBIT2022 🏳️‍🌈🏳️‍⚧️ https://t.co/hnYv0Traly",Message,Text Only,4055,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,"Sexodiversidad, Género"
Twitter,https://twitter.com/principiit0/statuses/1526761700183183360,principiit0,5/17/2022 11:08 pm,Siempre que entró a Twitter me caliento pero a la vez me deprimo :/ maldita comunidad clasista 😔😡,Message,Text Only,1616,0,"Merida, Yucatán, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/p/CdrtUkSOOHJ/,,5/17/2022 10:39 pm,"💥No existe una forma de dominación más atroz y peligrosa que el racismo.

¨Francia Márquez. La lucha por un lugar¨

Nuevo texto en contexto de elecciones en Colombia.

🔗 Léelo dando clic en el enlace de la biografía en nuestro perfil el.rizoma

#franciamarquez #politica #colombia #elecciones2022 #racismo",Message,Photo,0,8,,8,0,0,0,
Twitter,https://twitter.com/palodelmar/statuses/1526753579293360128,palodelmar,5/17/2022 10:36 pm,"PERO DON IDIOTA, VÁYASE ALV | QT: No permitamos que demagogos y académicos incultos e ignorantes racialicen a la sociedad mexicana. Aquí nunca nos hemos organizado por razas. El racismo no ha sido nunca un principio de organización social ni cultural. Ese maniqueísmo es importado desde la academia gringa.",Message,Text Only,917,0,"Tlalpan, Mexico City, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/p/Cdrs9JPDfxv/,,5/17/2022 10:36 pm,"Joe Biden y su esposa visitan Buffalo para reunirse con las familias de las victimas del tiroteo que dejó diez muertos, esta tragedia ha sido catalogada como un acto racista que motivo el ataque. 

#usa #joebiden #biden #buffalo #ataque #tragedia #memorial #tiroteo #racismo",Message,Photo,0,19,,19,0,0,0,
Twitter,https://twitter.com/cc_RockTj/statuses/1526753132369195008,cc_RockTj,5/17/2022 10:34 pm,"Todos iguales..y todos jodidos! | QT: Pues el sexenio de la kuatroté ya va al 58% y yo sigo viendo a los resentidos en las mismas condiciones, a los pobres cada vez peor, a los ricos en las mismas condiciones y los clase media batallando as usual… en resumen todos iguales, pero enojados…",Message,Text Only,4621,0,"Las Delicias, Baja California, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/IrisZorrilla4/statuses/1526748394219266048,IrisZorrilla4,5/17/2022 10:15 pm,Clasista yo? si salía con un narizón feo,Message,Text Only,37,0,"Tuxtla Gutierrez, Chiapas, Mexico",0,0,0,0,
Instagram,https://www.instagram.com/tv/Cdrp2EHj5Iv/,,5/17/2022 10:11 pm,"“El gran reemplazo”, una teoría que motiva los ataques racistas en EU

“El gran reemplazo” es el nombre de una teoría conspirativa que explica que los blancos están siendo sustituidos por poblaciones de otras razas. Este fin de semana Payton Gendron de 18 años llegó con varias armas a un supermercado de Buffalo para asesinar a 10 personas. 

¿Cuándo será que Estados Unidos ponga una estrategia sobre la mesa para atacar este problema? 

#EnContexto, la opinión de Nina Andrade

.
.
.
.

#AztecaNoticias #News #racismo #eu #ny #bufalo #buffalo",Message,Video,0,70,,67,0,3,0,
Twitter,https://twitter.com/P051091/statuses/1526745529635328000,P051091,5/17/2022 10:04 pm,"En tiempos de hambre hasta los jotos somos visibles para los PANISTAS, que te lo crean otros hipócritas. | QT: 🗓 Un día como hoy, pero de 1990, la OMS quitó la homosexualidad de su lista de enfermedades.
📢A 32 años de este logro seguimos trabajando y accionando contra la discriminación hacia la comunidad LGBT+
🌈En mí tienen una aliada que trabaja por un gobierno incluyente. https://t.co/SgoeUegDFM",Message,Text Only,170,0,"Las Delicias, Baja California, Mexico",0,0,0,0,Sexodiversidad
Twitter,https://twitter.com/8armandosanchez/statuses/1526744665474490369,8armandosanchez,5/17/2022 10:01 pm,"Hoy n l día mundial contra la homofobia, lesbofobia, transfobia y bifobia agradecemos a quienes han, siguen y seguirán luchando x la diversidad d genero, el respeto, la igualdad, la inclusión y los derechos humanos! Por un mundo sin #Discriminación #DiaMundialContraLaHomofobia🏳️‍🌈",Message,Text Only,943,0,"Ixtapa, Jalisco, Mexico",0,0,0,0,
Twitter,https://twitter.com/Sir_Vic/statuses/1526742367247773696,Sir_Vic,5/17/2022 9:52 pm,"No hay nada más pendejo en esta vida, que un mexicano mestizo que se define como racista",Message,Text Only,484,0,"Cuernavaca, Morelos, Mexico",0,0,0,0,
